Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Expectedsummary = TestObject().addProperty(""text"", EQUALS, summary)",Chrome 110.0.0.0,,,2023-03-13 21:23:20,2023-03-13 21:23:20,0.000s,PASSED
"verifyElementPresent(Expectedsummary, 5)",Chrome 110.0.0.0,,,2023-03-13 21:23:20,2023-03-13 21:23:20,0.448s,PASSED
"AssetSummary = getText(findTestObject(""EBP_Object/Page_Streetlogix/Asset_name""))",Chrome 110.0.0.0,,,2023-03-13 21:23:20,2023-03-13 21:23:20,0.379s,PASSED
"Totalyear2 = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Program_duration_1year""))",Chrome 110.0.0.0,,,2023-03-13 21:23:20,2023-03-13 21:23:21,0.380s,PASSED
"verifyMatch(Totalyear2, Totalyear1, false)",Chrome 110.0.0.0,,,2023-03-13 21:23:21,2023-03-13 21:23:21,0.005s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Total cost estimated""))",Chrome 110.0.0.0,,,2023-03-13 21:23:21,2023-03-13 21:23:21,0.393s,PASSED
"Inflation2 = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/Inflation_5""))",Chrome 110.0.0.0,,,2023-03-13 21:23:21,2023-03-13 21:23:22,0.672s,PASSED
InflationSummary,Chrome 110.0.0.0,,,2023-03-13 21:23:22,2023-03-13 21:23:22,0.000s,PASSED
"verifyMatch(InflationSummary, Inflation2, false)",Chrome 110.0.0.0,,,2023-03-13 21:23:22,2023-03-13 21:23:22,0.002s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/h6_pci  0""))",Chrome 110.0.0.0,,,2023-03-13 21:23:22,2023-03-13 21:23:22,0.491s,PASSED
"DTused = getText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/h6_DT with PCI ranges""))",Chrome 110.0.0.0,,,2023-03-13 21:23:22,2023-03-13 21:23:23,0.780s,PASSED
InuseDT = database_keywords.test.Database_Keywords.getinuseDT(),Chrome 110.0.0.0,,,2023-03-13 21:23:23,2023-03-13 21:23:27,4.187s,PASSED
println(InuseDT),Chrome 110.0.0.0,,,2023-03-13 21:23:27,2023-03-13 21:23:27,0.002s,PASSED
"verifyMatch(InuseDT, DTused, false)",Chrome 110.0.0.0,,,2023-03-13 21:23:27,2023-03-13 21:23:27,0.001s,PASSED
"click(findTestObject(""EBP_Object/Page_Streetlogix/View_Graph_dropdown""))",Chrome 110.0.0.0,,,2023-03-13 21:23:27,2023-03-13 21:23:28,0.408s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/li_Table""))",Chrome 110.0.0.0,,,2023-03-13 21:23:28,2023-03-13 21:23:29,0.717s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:23:29,2023-03-13 21:23:34,5.007s,PASSED
"finalrating = TestObject().addProperty(""text"", EQUALS, TargetCIfloat)",Chrome 110.0.0.0,,,2023-03-13 21:23:34,2023-03-13 21:23:34,0.000s,PASSED
"verifyElementPresent(finalrating, 5)",Chrome 110.0.0.0,,,2023-03-13 21:23:34,2023-03-13 21:23:34,0.439s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Report""))",Chrome 110.0.0.0,,,2023-03-13 21:23:34,2023-03-13 21:23:35,0.552s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-03-13 21:23:35,2023-03-13 21:23:40,5.008s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Export""))",Chrome 110.0.0.0,,,2023-03-13 21:23:40,2023-03-13 21:23:40,0.517s,PASSED
delay(120),Chrome 110.0.0.0,,,2023-03-13 21:23:40,2023-03-13 21:25:40,2m - 0.010s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/span_Close""))",Chrome 110.0.0.0,,,2023-03-13 21:25:40,2023-03-13 21:25:41,0.547s,PASSED
"isFileDownloaded(""Streetlogix-EST-1.pdf"")",Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.001s,PASSED
"downloadPath = ""/Users/kashif/Downloads""",Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.000s,PASSED
dir = new java.io.File(downloadPath),Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.000s,PASSED
files = dir.listFiles(),Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.181s,PASSED
for (File file : files),Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.020s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:41,0.216s,PASSED
,,,,,,,
Test Cases/GiS/Budget Estimator/Budget_Estimator_3year,Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:29:58,4m - 17.046s,FAILED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-03-13 21:25:41,2023-03-13 21:25:44,3.082s,PASSED
delay(15),Chrome 110.0.0.0,,,2023-03-13 21:25:44,2023-03-13 21:25:59,15.007s,PASSED
"click(findTestObject(""EBP_Object/Page_Streetlogix/Menubar-icon""))",Chrome 110.0.0.0,,,2023-03-13 21:25:59,2023-03-13 21:26:29,30.105s,PASSED
delay(10),Chrome 110.0.0.0,,,2023-03-13 21:26:29,2023-03-13 21:26:39,10.030s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/div_Budget Estimator""))",Chrome 110.0.0.0,,,2023-03-13 21:26:39,2023-03-13 21:26:48,8.351s,PASSED
"Asset = getText(findTestObject(""Compare Scenarios/div_Pavement Maintenance""))",Chrome 110.0.0.0,,,2023-03-13 21:26:48,2023-03-13 21:26:50,2.150s,PASSED
"Scenarioname = ""EST 3""",Chrome 110.0.0.0,,,2023-03-13 21:26:50,2023-03-13 21:26:50,0.000s,PASSED
"Totalyears = ""3""",Chrome 110.0.0.0,,,2023-03-13 21:26:50,2023-03-13 21:26:50,0.000s,PASSED
"Inflation = ""5""",Chrome 110.0.0.0,,,2023-03-13 21:26:50,2023-03-13 21:26:50,0.000s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:26:50,2023-03-13 21:26:52,2.465s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:26:52,2023-03-13 21:26:53,0.492s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Scenarioname)",Chrome 110.0.0.0,,,2023-03-13 21:26:53,2023-03-13 21:26:54,0.976s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:26:54,2023-03-13 21:26:54,0.495s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:26:54,2023-03-13 21:26:55,0.486s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Totalyears)",Chrome 110.0.0.0,,,2023-03-13 21:26:55,2023-03-13 21:26:56,0.940s,PASSED
