Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Chrome 110.0.0.0,,,2023-02-22 10:46:33,2023-02-22 11:11:53,25m - 19.586s,FAILED
,,,,,,,
Test Cases/GiS/Work order/Work_order_Yearly,Chrome 110.0.0.0,,,2023-02-22 10:46:33,2023-02-22 10:48:02,1m - 28.440s,PASSED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-02-22 10:46:34,2023-02-22 10:46:40,6.337s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-22 10:46:40,2023-02-22 10:46:50,10.227s,PASSED
println(countBefore),Chrome 110.0.0.0,,,2023-02-22 10:46:50,2023-02-22 10:46:50,0.021s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Chrome 110.0.0.0,,,2023-02-22 10:46:50,2023-02-22 10:46:53,3.205s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Chrome 110.0.0.0,,,2023-02-22 10:46:53,2023-02-22 10:46:55,1.145s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Chrome 110.0.0.0,,,2023-02-22 10:46:55,2023-02-22 10:47:04,9.203s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Chrome 110.0.0.0,,,2023-02-22 10:47:04,2023-02-22 10:47:08,4.673s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-22 10:47:08,2023-02-22 10:47:09,0.631s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Select Assignee_assignee-autocomplete""))",Chrome 110.0.0.0,,,2023-02-22 10:47:09,2023-02-22 10:47:12,2.654s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 110.0.0.0,,,2023-02-22 10:47:12,2023-02-22 10:47:12,0.656s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Collaborators_collaborators-autocomplete""))",Chrome 110.0.0.0,,,2023-02-22 10:47:12,2023-02-22 10:47:13,0.897s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 110.0.0.0,,,2023-02-22 10:47:13,2023-02-22 10:47:14,0.662s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/h6_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-22 10:47:14,2023-02-22 10:47:15,0.612s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/input_Address_asset-id-address""), ""12"")",Chrome 110.0.0.0,,,2023-02-22 10:47:15,2023-02-22 10:47:15,0.975s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_12TH STREET CONNECTOR From CHESTNUT ST To MAGAZINE ST - 20476""))",Chrome 110.0.0.0,,,2023-02-22 10:47:15,2023-02-22 10:47:16,0.535s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/textarea_Test""), ""Test"")",Chrome 110.0.0.0,,,2023-02-22 10:47:16,2023-02-22 10:47:19,2.541s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/div_Urgent""))",Chrome 110.0.0.0,,,2023-02-22 10:47:19,2023-02-22 10:47:19,0.571s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_High""))",Chrome 110.0.0.0,,,2023-02-22 10:47:19,2023-02-22 10:47:20,0.561s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Upload_repeatingWorkOrder""))",Chrome 110.0.0.0,,,2023-02-22 10:47:20,2023-02-22 10:47:20,0.739s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/div_Daily""))",Chrome 110.0.0.0,,,2023-02-22 10:47:20,2023-02-22 10:47:21,0.628s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Weekly""))",Chrome 110.0.0.0,,,2023-02-22 10:47:21,2023-02-22 10:47:22,0.532s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Statement Field Test_equipment""))",Chrome 110.0.0.0,,,2023-02-22 10:47:22,2023-02-22 10:47:22,0.825s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-02-22 10:47:22,2023-02-22 10:47:25,3.021s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/div_equip""))",Chrome 110.0.0.0,,,2023-02-22 10:47:25,2023-02-22 10:47:26,0.508s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Snow Plow - 15""))",Chrome 110.0.0.0,,,2023-02-22 10:47:26,2023-02-22 10:47:27,0.561s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Add Item_material""))",Chrome 110.0.0.0,,,2023-02-22 10:47:27,2023-02-22 10:47:27,0.788s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-02-22 10:47:27,2023-02-22 10:47:30,3.007s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/div_material""))",Chrome 110.0.0.0,,,2023-02-22 10:47:30,2023-02-22 10:47:31,0.500s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Asphalt - 22""))",Chrome 110.0.0.0,,,2023-02-22 10:47:31,2023-02-22 10:47:31,0.558s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Add Item_labor""))",Chrome 110.0.0.0,,,2023-02-22 10:47:31,2023-02-22 10:47:32,0.783s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-02-22 10:47:32,2023-02-22 10:47:35,3.007s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/div_labor""))",Chrome 110.0.0.0,,,2023-02-22 10:47:35,2023-02-22 10:47:36,0.503s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Supervisor - 30""))",Chrome 110.0.0.0,,,2023-02-22 10:47:36,2023-02-22 10:47:36,0.489s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Add Item""))",Chrome 110.0.0.0,,,2023-02-22 10:47:36,2023-02-22 10:47:37,0.821s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Save""))",Chrome 110.0.0.0,,,2023-02-22 10:47:37,2023-02-22 10:47:38,0.623s,PASSED
countAfter = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-22 10:47:38,2023-02-22 10:48:01,23.846s,PASSED
println(countAfter),Chrome 110.0.0.0,,,2023-02-22 10:48:01,2023-02-22 10:48:01,0.000s,PASSED
if (countAfter == countBefore + 1),Chrome 110.0.0.0,,,2023-02-22 10:48:01,2023-02-22 10:48:01,0.001s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-22 10:48:01,2023-02-22 10:48:02,0.198s,PASSED
Video,Chrome 110.0.0.0,,,2023-02-22 10:48:02,2023-02-22 10:48:02,0.001s,PASSED
,,,,,,,
Test Cases/GiS/Work order/Work_order_dailly_2,Chrome 110.0.0.0,,,2023-02-22 10:48:02,2023-02-22 10:49:00,58.265s,PASSED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-02-22 10:48:02,2023-02-22 10:48:06,3.780s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-22 10:48:06,2023-02-22 10:48:12,6.340s,PASSED
println(countBefore),Chrome 110.0.0.0,,,2023-02-22 10:48:12,2023-02-22 10:48:12,0.002s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Chrome 110.0.0.0,,,2023-02-22 10:48:12,2023-02-22 10:48:19,6.628s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Chrome 110.0.0.0,,,2023-02-22 10:48:19,2023-02-22 10:48:20,1.498s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Chrome 110.0.0.0,,,2023-02-22 10:48:20,2023-02-22 10:48:21,0.964s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Chrome 110.0.0.0,,,2023-02-22 10:48:21,2023-02-22 10:48:25,3.652s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-22 10:48:25,2023-02-22 10:48:26,0.946s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Select Assignee_assignee-autocomplete""))",Chrome 110.0.0.0,,,2023-02-22 10:48:26,2023-02-22 10:48:30,3.889s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 110.0.0.0,,,2023-02-22 10:48:30,2023-02-22 10:48:30,0.743s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Collaborators_collaborators-autocomplete""))",Chrome 110.0.0.0,,,2023-02-22 10:48:30,2023-02-22 10:48:31,0.863s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_ami  admin""))",Chrome 110.0.0.0,,,2023-02-22 10:48:31,2023-02-22 10:48:32,0.673s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/h6_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-22 10:48:32,2023-02-22 10:48:32,0.578s,PASSED
