Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GIS,Chrome 110.0.0.0,,,2023-03-09 11:41:01,2023-03-09 12:19:38,38m - 37.206s,FAILED
,,,,,,,
Test Cases/GiS/Layers/Statistics on GIS layer,Chrome 110.0.0.0,,,2023-03-09 11:41:01,2023-03-09 11:42:49,1m - 48.115s,FAILED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-03-09 11:41:01,2023-03-09 11:41:06,4.874s,PASSED
"click(findTestObject(""Page_Streetlogix/img_Search_rail-icon""))",Chrome 110.0.0.0,,,2023-03-09 11:41:06,2023-03-09 11:41:10,3.808s,PASSED
delay(15),Chrome 110.0.0.0,,,2023-03-09 11:41:10,2023-03-09 11:41:25,15.018s,PASSED
"pci = getText(findTestObject(""Object Repository/Page_Streetlogix/h6_Pavement Average Condition 58""))",Chrome 110.0.0.0,,,2023-03-09 11:41:25,2023-03-09 11:41:25,0.508s,PASSED
"pciAvg = pci.replaceAll(""[^0-9]"", """")",Chrome 110.0.0.0,,,2023-03-09 11:41:25,2023-03-09 11:41:25,0.003s,PASSED
avgPCI = database_keywords.test.Database_Keywords.getAveragePCI(),Chrome 110.0.0.0,,,2023-03-09 11:41:25,2023-03-09 11:41:44,18.203s,PASSED
println(avgPCI),Chrome 110.0.0.0,,,2023-03-09 11:41:44,2023-03-09 11:41:44,0.002s,PASSED
"verifyMatch(pciAvg, avgPCI, false)",Chrome 110.0.0.0,,,2023-03-09 11:41:44,2023-03-09 11:41:44,0.006s,PASSED
"milespci = getText(findTestObject(""Object Repository/Page_Streetlogix/p_Total Length 2,148 miles""))",Chrome 110.0.0.0,,,2023-03-09 11:41:44,2023-03-09 11:41:44,0.497s,PASSED
"pciMiles = milespci.replaceAll(""[^0-9]"", """")",Chrome 110.0.0.0,,,2023-03-09 11:41:44,2023-03-09 11:41:44,0.000s,PASSED
