Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Asphalt - 22""))",Chrome 110.0.0.0,,,2023-02-23 03:54:21,2023-02-23 03:54:22,0.645s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Add Item_labor""))",Chrome 110.0.0.0,,,2023-02-23 03:54:22,2023-02-23 03:54:23,0.705s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-02-23 03:54:23,2023-02-23 03:54:26,3.006s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/Page_Streetlogix/div_labor""))",Chrome 110.0.0.0,,,2023-02-23 03:54:26,2023-02-23 03:54:26,0.501s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Supervisor - 30""))",Chrome 110.0.0.0,,,2023-02-23 03:54:26,2023-02-23 03:54:27,0.649s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Add Item""))",Chrome 110.0.0.0,,,2023-02-23 03:54:27,2023-02-23 03:54:28,0.823s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Save""))",Chrome 110.0.0.0,,,2023-02-23 03:54:28,2023-02-23 03:54:28,0.482s,PASSED
countAfter = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-23 03:54:28,2023-02-23 03:54:34,6.347s,PASSED
println(countAfter),Chrome 110.0.0.0,,,2023-02-23 03:54:34,2023-02-23 03:54:34,0.000s,PASSED
if (countAfter == countBefore + 1),Chrome 110.0.0.0,,,2023-02-23 03:54:34,2023-02-23 03:54:34,0.002s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-23 03:54:34,2023-02-23 03:54:35,0.197s,PASSED
Video,Chrome 110.0.0.0,,,2023-02-23 03:54:35,2023-02-23 03:54:35,0.001s,PASSED
,,,,,,,
Test Cases/GiS/Work order/Work_order_dailly_2,Chrome 110.0.0.0,,,2023-02-23 03:54:35,2023-02-23 03:56:32,1m - 56.913s,PASSED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-02-23 03:54:35,2023-02-23 03:54:39,4.061s,PASSED
countBefore = database_keywords.test.Database_Keywords.getWorkOrdersCount(),Chrome 110.0.0.0,,,2023-02-23 03:54:39,2023-02-23 03:54:46,6.278s,PASSED
println(countBefore),Chrome 110.0.0.0,,,2023-02-23 03:54:46,2023-02-23 03:54:46,0.002s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/WO icon""))",Chrome 110.0.0.0,,,2023-02-23 03:54:46,2023-02-23 03:54:53,7.323s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/Group Dropdown""))",Chrome 110.0.0.0,,,2023-02-23 03:54:53,2023-02-23 03:54:54,1.231s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/li_Bridge Inspection""))",Chrome 110.0.0.0,,,2023-02-23 03:54:54,2023-02-23 03:54:55,0.675s,PASSED
"setText(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/input_Filter by form name_standard-full-width""), ""Bridge maintenance"")",Chrome 110.0.0.0,,,2023-02-23 03:54:55,2023-02-23 03:54:58,3.603s,PASSED
"click(findTestObject(""Work order 4.0/Page_Streetlogix/Workorder page objects/Page_Streetlogix/span_Bridge Maintenance""))",Chrome 110.0.0.0,,,2023-02-23 03:54:58,2023-02-23 03:54:59,0.644s,PASSED
